feature,importance
zp_is_solar_window,12.594124688197237
zp_hour_cos,11.16303535899642
zp_residual_valley_width,9.132246616849764
zp_solar_clock_proxy,9.078188060072046
zp_milp_reserve_margin_gw,8.86320572964398
zp_residual_daily_mean,7.7579037432234985
zp_residual_forward_slope_1h,6.565421678487181
zp_residual_daily_min,6.554065833908313
zp_residual_slope_1h,5.277477869087529
zp_hour_sin,5.211243124344839
zp_milp_reserve_abundance,5.050421631331659
zp_residual_load,3.681985683971589
zp_milp_oversupply_pressure,2.983488917853915
zp_residual_valley_gap,2.9303602730520217
zp_milp_price,1.0421025541833133
zp_residual_valley_flag,1.0155087283052378
zp_milp_zero_pressure,0.857309036105847
zp_milp_committed_thermal_gw,0.23063590381471535
zp_milp_startups,0.011274568570890688
