stage,family,spec,refit_day,fit_first_day,fit_last_day,max_permitted_label_day,fit_physical_hours,original_predicted_physical_hours,retained_predicted_physical_hours
validation,ridge_univariate,"{""alpha"": 10, ""family"": ""ridge_univariate""}",2026-03-15,2025-09-30,2026-03-13,2026-03-13,3961,168,168
validation,ridge_univariate,"{""alpha"": 10, ""family"": ""ridge_univariate""}",2026-03-22,2025-09-30,2026-03-20,2026-03-20,4129,168,168
validation,ridge_univariate,"{""alpha"": 10, ""family"": ""ridge_univariate""}",2026-03-29,2025-09-30,2026-03-27,2026-03-27,4297,167,167
validation,ridge_univariate,"{""alpha"": 10, ""family"": ""ridge_univariate""}",2026-04-05,2025-10-06,2026-04-03,2026-04-03,4320,168,168
validation,ridge_univariate,"{""alpha"": 10, ""family"": ""ridge_univariate""}",2026-04-12,2025-10-13,2026-04-10,2026-04-10,4320,168,168
validation,ridge_univariate,"{""alpha"": 10, ""family"": ""ridge_univariate""}",2026-04-19,2025-10-20,2026-04-17,2026-04-17,4320,168,168
validation,ridge_univariate,"{""alpha"": 10, ""family"": ""ridge_univariate""}",2026-04-26,2025-10-27,2026-04-24,2026-04-24,4319,168,168
validation,ridge_univariate,"{""alpha"": 10, ""family"": ""ridge_univariate""}",2026-05-03,2025-11-03,2026-05-01,2026-05-01,4319,168,168
validation,ridge_univariate,"{""alpha"": 10, ""family"": ""ridge_univariate""}",2026-05-10,2025-11-10,2026-05-08,2026-05-08,4319,168,168
validation,ridge_univariate,"{""alpha"": 10, ""family"": ""ridge_univariate""}",2026-05-17,2025-11-17,2026-05-15,2026-05-15,4319,168,168
validation,ridge_univariate,"{""alpha"": 10, ""family"": ""ridge_univariate""}",2026-05-24,2025-11-24,2026-05-22,2026-05-22,4319,168,168
validation,ridge_univariate,"{""alpha"": 10, ""family"": ""ridge_univariate""}",2026-05-31,2025-12-01,2026-05-29,2026-05-29,4319,168,168
validation,ridge_univariate,"{""alpha"": 10, ""family"": ""ridge_univariate""}",2026-06-07,2025-12-08,2026-06-05,2026-06-05,4319,168,168
validation,ridge_univariate,"{""alpha"": 10, ""family"": ""ridge_univariate""}",2026-06-14,2025-12-15,2026-06-12,2026-06-12,4319,96,96
validation,ridge_univariate,"{""alpha"": 100, ""family"": ""ridge_univariate""}",2026-03-15,2025-09-30,2026-03-13,2026-03-13,3961,168,168
validation,ridge_univariate,"{""alpha"": 100, ""family"": ""ridge_univariate""}",2026-03-22,2025-09-30,2026-03-20,2026-03-20,4129,168,168
validation,ridge_univariate,"{""alpha"": 100, ""family"": ""ridge_univariate""}",2026-03-29,2025-09-30,2026-03-27,2026-03-27,4297,167,167
validation,ridge_univariate,"{""alpha"": 100, ""family"": ""ridge_univariate""}",2026-04-05,2025-10-06,2026-04-03,2026-04-03,4320,168,168
validation,ridge_univariate,"{""alpha"": 100, ""family"": ""ridge_univariate""}",2026-04-12,2025-10-13,2026-04-10,2026-04-10,4320,168,168
validation,ridge_univariate,"{""alpha"": 100, ""family"": ""ridge_univariate""}",2026-04-19,2025-10-20,2026-04-17,2026-04-17,4320,168,168
