period,subset,zone,model,days,n,mae,rmse,bias
full350,all_common,pooled,nyx,350,33596,11.189234919816203,21.70780372053328,-0.6616646219717265
full350,all_common,pooled,storm,350,33596,11.162003067775926,20.685583817487927,-1.858190824949399
full350,all_common,BE,nyx,350,8399,10.907908900753391,23.613951181297388,-0.9805125894797803
full350,all_common,BE,storm,350,8399,10.698147606500774,23.457079229380906,-2.5276740822716994
full350,all_common,DE,nyx,350,8399,10.912411342748438,21.57080824928911,-0.6601481907220048
full350,all_common,DE,storm,350,8399,11.295950395285153,19.885127889373198,-1.4885321593046794
full350,all_common,FR,nyx,350,8399,11.966398461849163,18.996100322124278,-0.26952191331921704
full350,all_common,FR,storm,350,8399,11.841860785926896,18.56267839873362,-1.9260579332063341
full350,all_common,NL,nyx,350,8399,10.970220973913817,22.38626103457852,-0.7364757943659032
full350,all_common,NL,storm,350,8399,10.81205348339088,20.526753396391776,-1.490499125014883
full350,cache_only,pooled,nyx,331,31724,11.037799107793553,21.11163790275241,-0.7632885686958859
full350,cache_only,pooled,storm,331,31724,10.923738625204892,20.02227040565986,-1.6677514010213088
full350,cache_only,BE,nyx,331,7943,10.755986137878137,23.25208246218056,-1.0869415684124726
full350,cache_only,BE,storm,331,7943,10.420671394309455,22.97831363201678,-2.3535643380334883
full350,cache_only,DE,nyx,331,7943,10.673019118643621,20.78598615450211,-0.625881924646851
full350,cache_only,DE,storm,331,7943,11.056831763187713,19.157804695935383,-1.236684826513912
full350,cache_only,FR,nyx,330,7919,11.908031408836239,18.10161438881745,-0.42954352078157115
full350,cache_only,FR,storm,330,7919,11.549782716252052,17.525366403639556,-1.7216002568506126
full350,cache_only,NL,nyx,330,7919,10.816119385846214,21.95845121353174,-0.9102228067772208
full350,cache_only,NL,storm,330,7919,10.668789902260386,20.027975849288197,-1.3583841265311278
full350,native_fallback_only,pooled,nyx,20,1872,13.75555420432822,30.063805163099477,1.0605138427062848
full350,native_fallback_only,pooled,storm,20,1872,15.199770790064102,29.757118077402655,-5.085487985576924
full350,native_fallback_only,BE,nyx,19,456,13.554230184784393,29.206698804169758,0.8733588571482384
full350,native_fallback_only,BE,storm,19,456,15.531466802631579,30.618374893512517,-5.560467280701754
full350,native_fallback_only,DE,nyx,19,456,15.082350895521554,32.31635883693435,-1.2570274701846105
full350,native_fallback_only,DE,storm,19,456,15.461124287280702,29.833851822270628,-5.875425502192983
full350,native_fallback_only,FR,nyx,20,480,12.929333238535284,30.138157389759904,2.370501231460749
full350,native_fallback_only,FR,storm,20,480,16.660540439583333,31.01878962159695,-5.299183639583333
full350,native_fallback_only,NL,nyx,20,480,13.512576132054114,28.53293476426077,2.1299879374783157
full350,native_fallback_only,NL,storm,20,480,13.175604106249999,27.478427392857878,-3.670121360416666
full350,cache_only_no_label_fallback,pooled,nyx,331,31724,11.037799107793553,21.11163790275241,-0.7632885686958859
full350,cache_only_no_label_fallback,pooled,storm,331,31724,10.923738625204892,20.02227040565986,-1.6677514010213088
full350,cache_only_no_label_fallback,BE,nyx,331,7943,10.755986137878137,23.25208246218056,-1.0869415684124726
full350,cache_only_no_label_fallback,BE,storm,331,7943,10.420671394309455,22.97831363201678,-2.3535643380334883
full350,cache_only_no_label_fallback,DE,nyx,331,7943,10.673019118643621,20.78598615450211,-0.625881924646851
full350,cache_only_no_label_fallback,DE,storm,331,7943,11.056831763187713,19.157804695935383,-1.236684826513912
full350,cache_only_no_label_fallback,FR,nyx,330,7919,11.908031408836239,18.10161438881745,-0.42954352078157115
full350,cache_only_no_label_fallback,FR,storm,330,7919,11.549782716252052,17.525366403639556,-1.7216002568506126
full350,cache_only_no_label_fallback,NL,nyx,330,7919,10.816119385846214,21.95845121353174,-0.9102228067772208
full350,cache_only_no_label_fallback,NL,storm,330,7919,10.668789902260386,20.027975849288197,-1.3583841265311278
test75,all_common,pooled,nyx,75,7200,13.833375195161384,30.868102513234415,-2.139981431304014
test75,all_common,pooled,storm,75,7200,12.361032964722222,28.457277763855245,-3.419065180277778
test75,all_common,BE,nyx,75,1800,15.894493157294233,39.502640867525834,-2.5267694827448075
test75,all_common,BE,storm,75,1800,13.588546921666667,39.129341730710344,-3.3009890783333335
test75,all_common,DE,nyx,75,1800,12.489424819862114,28.032285486425,-2.344699954217139
test75,all_common,DE,storm,75,1800,11.438904034444445,23.467530350876945,-3.4898640466666673
test75,all_common,FR,nyx,75,1800,13.404341235001441,19.191436099395798,-1.3696255968606403
test75,all_common,FR,storm,75,1800,12.324011288888888,18.23984898757102,-4.448160404444445
test75,all_common,NL,nyx,75,1800,13.545241568487747,33.1176709086229,-2.318830691393468
test75,all_common,NL,storm,75,1800,12.092669613888887,28.718359541927267,-2.4372471916666663
test75,cache_only,pooled,nyx,72,6864,13.75287816137334,31.200742285318466,-2.6313802680964358
test75,cache_only,pooled,storm,72,6864,12.157021093677155,28.672160480512947,-3.322054563665502
test75,cache_only,BE,nyx,72,1728,15.792558659767792,39.97652087546097,-3.1289321230834988
test75,cache_only,BE,storm,72,1728,13.388161071180555,39.63370010400688,-3.283119338541667
test75,cache_only,DE,nyx,72,1728,12.383830245817926,28.309893437398138,-2.8103373127049482
test75,cache_only,DE,storm,72,1728,11.358093736689815,23.63333171891233,-3.590760354745371
