period,zone,comparison,n,days,block_days,reps,seed,mae_delta,mae_delta_ci_low,mae_delta_ci_high,rmse_delta,rmse_delta_ci_low,rmse_delta_ci_high
full350,pooled,nyx minus chronos,33596,350,7,2000,20260915,-1.008261529653734,-1.2397635719040736,-0.7152233558426064,-1.4805529656083252,-1.9499671218936712,-0.9553577077742162
full350,pooled,residual minus chronos,33596,350,7,2000,20260915,-0.9137666485835827,-1.1192524437963696,-0.6404647148739544,-1.3125506095547088,-1.7853885855055607,-0.8090046090316398
full350,pooled,nyx minus residual,33596,350,7,2000,20260915,-0.09449488107015137,-0.17618727347626892,-0.007471054306895018,-0.16800235605361635,-0.2928374999988052,-0.038738209763697004
full350,pooled,nyx minus storm,33596,350,7,2000,20260915,0.027231852040274715,-0.5612919079945695,0.7356215444362487,1.0222199030453538,-2.949917807200831,4.9841155191467585
full350,BE,nyx minus chronos,8399,350,7,2000,20260915,-0.8528223119887196,-1.1344355462890117,-0.537849370035972,-1.152917022156938,-1.855706554695229,-0.48777709610094805
full350,BE,residual minus chronos,8399,350,7,2000,20260915,-0.7497895568621393,-1.0026797553193465,-0.43422239477630264,-1.0024813553346164,-1.7345352224940969,-0.35281512663275033
full350,BE,nyx minus residual,8399,350,7,2000,20260915,-0.1030327551265803,-0.22343661302921586,0.021114532939902585,-0.15043566682232168,-0.31305789229578895,0.03513292646266233
full350,BE,nyx minus storm,8399,350,7,2000,20260915,0.2097612942526177,-0.6287563052638148,1.3124332348677545,0.1568719519164823,-8.180772582449078,8.60353673087976
full350,DE,nyx minus chronos,8399,350,7,2000,20260915,-1.1900171129034263,-1.5175430279364543,-0.8124316568987022,-1.897648240829728,-2.4696877186851154,-1.249603865911277
full350,DE,residual minus chronos,8399,350,7,2000,20260915,-1.1117887922285288,-1.3956808619068617,-0.7678314585812552,-1.697485914991546,-2.2314835267306083,-1.0930218394194189
full350,DE,nyx minus residual,8399,350,7,2000,20260915,-0.07822832067489749,-0.20997952712668047,0.05399229117317396,-0.20016232583818194,-0.34789509338765034,-0.05637105491780825
full350,DE,nyx minus storm,8399,350,7,2000,20260915,-0.3835390525367155,-1.2019573286121166,0.46458238420023684,1.6856803599159136,-0.9172638954620945,4.4951002582721244
full350,FR,nyx minus chronos,8399,350,7,2000,20260915,-0.875333059116548,-1.234927267148857,-0.4696177600751476,-1.1835684711956205,-1.6665230443905565,-0.6221911570195917
full350,FR,residual minus chronos,8399,350,7,2000,20260915,-0.7270547922870856,-1.0545971542942725,-0.3540372632257717,-0.9344523698801588,-1.3961757906529573,-0.3975216806705831
