zone,model,n,mae,rmse,bias
BE,chronos,8759,12.029471037655098,24.999679133643642,-0.6933689814155727
BE,residual,8759,11.264221472578432,23.96662996905974,-1.383521018866806
BE,nyx,8759,11.165423423679226,23.823620634896443,-1.0483636537316798
BE,storm,8759,10.936282391711384,23.499065874098612,-2.818745653270921
DE,chronos,8759,12.389951832010503,24.128646968441412,-0.8001795632480878
DE,residual,8759,11.209456513857173,22.300906600879344,-1.0053044460254608
DE,nyx,8759,11.120064611384294,22.07119154019599,-0.712425989796116
DE,storm,8759,11.444472146820411,20.173936350219403,-1.7982954250485217
FR,chronos,8759,12.976876718414317,20.255050775626568,0.4756222040281995
FR,residual,8759,12.234061119259438,19.30668388128646,-0.19621957923059033
FR,nyx,8759,12.086988218718629,19.059806793928203,-0.08778607340328035
FR,storm,8759,11.856627093960498,18.501337585121703,-1.9152461637173197
NL,chronos,8759,12.297010248494118,24.198143819917597,-0.5707528107108116
NL,residual,8759,11.218652965370117,22.572557113259453,-0.946802090523383
NL,nyx,8759,11.172322120691403,22.48624814418552,-0.7574635333758445
NL,storm,8759,10.999550780340222,20.593897218806454,-1.7753342793697913
