period,subset,zone,model,n,days,mae,rmse,bias
annual,all_common,pooled,nyx,35036,365,11.386199593618388,21.929489202802017,-0.6515098125767302
annual,all_common,pooled,storm,35036,365,11.309233103208129,20.770182353047186,-2.0769053803516386
annual,all_common,BE,nyx,8759,365,11.165423423679226,23.823620634896443,-1.0483636537316798
annual,all_common,BE,storm,8759,365,10.936282391711384,23.499065874098612,-2.818745653270921
annual,all_common,DE,nyx,8759,365,11.120064611384294,22.07119154019599,-0.712425989796116
annual,all_common,DE,storm,8759,365,11.444472146820411,20.173936350219403,-1.7982954250485217
annual,all_common,FR,nyx,8759,365,12.086988218718629,19.059806793928203,-0.08778607340328035
annual,all_common,FR,storm,8759,365,11.856627093960498,18.501337585121703,-1.9152461637173197
annual,all_common,NL,nyx,8759,365,11.172322120691403,22.48624814418552,-0.7574635333758445
annual,all_common,NL,storm,8759,365,10.999550780340222,20.593897218806454,-1.7753342793697913
annual,cache_only,pooled,nyx,33068,345,11.212747013258541,21.192068877515016,-0.6919324534662953
annual,cache_only,pooled,storm,33068,345,11.056475287982337,20.046670203542515,-1.8503116956876737
annual,cache_only,BE,nyx,8279,345,11.00126493415595,23.40024692375715,-1.1024315789403376
annual,cache_only,BE,storm,8279,345,10.654075573861578,23.03057349587209,-2.6166437808914123
annual,cache_only,DE,nyx,8279,345,10.817340496359503,20.791332837943884,-0.5786788562447002
annual,cache_only,DE,storm,8279,345,11.13589382220075,19.113213943195827,-1.4594292293755284
annual,cache_only,FR,nyx,8255,344,12.01218690074355,18.167791262879234,-0.20009031524790505
annual,cache_only,FR,storm,8255,344,11.579116767534828,17.51202183480939,-1.69657352247123
annual,cache_only,NL,nyx,8255,344,11.021960146524293,22.05125964786393,-0.8856648729200569
annual,cache_only,NL,storm,8255,344,10.85775400084797,20.120023481191296,-1.6275086944881891
annual,native_fallback_only,pooled,nyx,1968,21,14.300696507916866,31.86238167074589,0.027705578142854115
annual,native_fallback_only,pooled,storm,1968,21,15.556283628556912,30.45674832153725,-5.88432406148374
annual,native_fallback_only,BE,nyx,480,20,13.996815371102608,30.206099258861247,-0.1158045853931848
annual,native_fallback_only,BE,storm,480,20,15.803762068749998,30.466205245956292,-6.304581906249999
annual,native_fallback_only,DE,nyx,480,20,16.341424920322332,37.85925612452614,-3.0192854036964745
annual,native_fallback_only,DE,storm,480,20,16.766805375,33.55228770711571,-7.643031329166666
annual,native_fallback_only,FR,nyx,504,21,13.312156631187424,30.11946862029751,1.7516415385558035
annual,native_fallback_only,FR,storm,504,21,16.401959920634923,30.427930158424054,-5.496878412698413
annual,native_fallback_only,NL,nyx,504,21,13.63509612217849,28.687036781962867,1.342342137135017
annual,native_fallback_only,NL,storm,504,21,13.32203573015873,27.205004305685115,-4.196564841269842
annual,cache_only_no_label_fallback,pooled,nyx,32996,345,11.196454400741844,21.186110099389474,-0.6709427827591333
annual,cache_only_no_label_fallback,pooled,storm,32996,345,11.030192705449148,20.021694364484656,-1.8240586465935267
annual,cache_only_no_label_fallback,BE,nyx,8279,345,11.00126493415595,23.40024692375715,-1.1024315789403376
annual,cache_only_no_label_fallback,BE,storm,8279,345,10.654075573861578,23.03057349587209,-2.6166437808914123
annual,cache_only_no_label_fallback,DE,nyx,8255,344,10.810716032208246,20.803384042442122,-0.5422872352960202
annual,cache_only_no_label_fallback,DE,storm,8255,344,11.110258324046033,19.099603542565745,-1.4172466673531194
annual,cache_only_no_label_fallback,FR,nyx,8231,343,11.982913841316792,18.136418784598014,-0.2056770268073657
annual,cache_only_no_label_fallback,FR,storm,8231,343,11.558127042279187,17.496053692559265,-1.7041283325233876
annual,cache_only_no_label_fallback,NL,nyx,8231,343,10.993185802848153,22.03620145219844,-0.8312341492957406
annual,cache_only_no_label_fallback,NL,storm,8231,343,10.800269795043128,20.037681413818788,-1.5547799413194021
test90,all_common,pooled,nyx,8640,90,14.191395139008185,30.196013322074393,-1.8524166040584602
test90,all_common,pooled,storm,8640,90,12.758226074652777,27.5750681097793,-4.045827227893519
test90,all_common,BE,nyx,2160,90,16.10764101560567,37.863589980209504,-2.544202348581372
test90,all_common,BE,storm,2160,90,14.072472306018518,37.08937388581023,-4.35242541712963
test90,all_common,DE,nyx,2160,90,13.068642471816071,28.652134760670922,-2.275932642750421
test90,all_common,DE,storm,2160,90,12.017347882407405,23.911409633045402,-4.412427456481482
test90,all_common,FR,nyx,2160,90,13.653686735966646,19.41389154014229,-0.44931932468536134
test90,all_common,FR,storm,2160,90,12.303531618055557,18.04031166130361,-3.983967266203704
test90,all_common,NL,nyx,2160,90,13.935610332644346,31.870070990226857,-2.1402121002166865
test90,all_common,NL,storm,2160,90,12.63955249212963,27.725575094453568,-3.4344887717592596
test90,cache_only,pooled,nyx,8208,86,14.013125613847146,30.012885856548856,-2.0380177848597842
test90,cache_only,pooled,storm,8208,86,12.4898432582846,27.514776591167802,-3.7866647456140354
test90,cache_only,BE,nyx,2064,86,15.956499932553202,38.12745724066425,-2.8586477097069127
test90,cache_only,BE,storm,2064,86,13.841298993217054,37.55944712758966,-4.187045805232558
test90,cache_only,DE,nyx,2064,86,12.684219852106295,27.243495142103285,-2.265390019251011
test90,cache_only,DE,storm,2064,86,11.626180346899226,22.81474744253409,-4.100998500968992
test90,cache_only,FR,nyx,2040,85,13.509947591519209,19.011099147450118,-0.4784421842827427
