period,support,zone,model,n,mae,rmse,bias
annual,all_nyx_hours,pooled,chronos,35040,12.422916032151598,23.46700427936056,-0.39813120989389283
annual,all_nyx_hours,pooled,residual,35040,11.481326415056502,22.101071682846456,-0.8839000709328334
annual,all_nyx_hours,pooled,nyx,35040,11.385594382147106,21.928406261320998,-0.6520551116334328
annual,all_nyx_hours,BE,chronos,8760,12.030223730737557,24.999044036370304,-0.6954157500752284
annual,all_nyx_hours,BE,residual,8760,11.264809317074349,23.965903613951827,-1.3852367972044697
annual,all_nyx_hours,BE,nyx,8760,11.165777779326763,23.82274866665589,-1.0498729248780663
annual,all_nyx_hours,DE,chronos,8760,12.388564258445205,24.127269853689292,-0.8001150230468038
annual,all_nyx_hours,DE,residual,8760,11.208470891625591,22.299650658690624,-1.0054836813358667
annual,all_nyx_hours,DE,nyx,8760,11.118945018975664,22.069936187756305,-0.7121948412685385
annual,all_nyx_hours,FR,chronos,8760,12.976858659839154,20.25435769453352,0.4741045892103879
annual,all_nyx_hours,FR,residual,8760,12.234221165586872,19.306131607289068,-0.19775380838222564
annual,all_nyx_hours,FR,nyx,8760,12.08642792141297,19.058873212121487,-0.08859554803201908
annual,all_nyx_hours,NL,chronos,8760,12.296017479584474,24.19679318519031,-0.5710986556639269
annual,all_nyx_hours,NL,residual,8760,11.217804285939199,22.571304901366105,-0.9471259968087715
annual,all_nyx_hours,NL,nyx,8760,11.171226808873026,22.484970962048312,-0.7575571323551075
annual,four_model_common,pooled,chronos,35036,12.42332745914351,23.468025095677742,-0.39716978783656814
annual,four_model_common,pooled,residual,35036,11.48159801776629,22.102025724004704,-0.88296178366156
annual,four_model_common,pooled,nyx,35036,11.386199593618388,21.929489202802017,-0.6515098125767302
annual,four_model_common,pooled,storm,35036,11.309233103208129,20.770182353047186,-2.0769053803516386
annual,four_model_common,BE,chronos,8759,12.029471037655098,24.999679133643642,-0.6933689814155727
annual,four_model_common,BE,residual,8759,11.264221472578432,23.96662996905974,-1.383521018866806
annual,four_model_common,BE,nyx,8759,11.165423423679226,23.823620634896443,-1.0483636537316798
annual,four_model_common,BE,storm,8759,10.936282391711384,23.499065874098612,-2.818745653270921
annual,four_model_common,DE,chronos,8759,12.389951832010503,24.128646968441412,-0.8001795632480878
annual,four_model_common,DE,residual,8759,11.209456513857173,22.300906600879344,-1.0053044460254608
annual,four_model_common,DE,nyx,8759,11.120064611384294,22.07119154019599,-0.712425989796116
annual,four_model_common,DE,storm,8759,11.444472146820411,20.173936350219403,-1.7982954250485217
annual,four_model_common,FR,chronos,8759,12.976876718414317,20.255050775626568,0.4756222040281995
annual,four_model_common,FR,residual,8759,12.234061119259438,19.30668388128646,-0.19621957923059033
annual,four_model_common,FR,nyx,8759,12.086988218718629,19.059806793928203,-0.08778607340328035
annual,four_model_common,FR,storm,8759,11.856627093960498,18.501337585121703,-1.9152461637173197
annual,four_model_common,NL,chronos,8759,12.297010248494118,24.198143819917597,-0.5707528107108116
annual,four_model_common,NL,residual,8759,11.218652965370117,22.572557113259453,-0.946802090523383
annual,four_model_common,NL,nyx,8759,11.172322120691403,22.48624814418552,-0.7574635333758445
annual,four_model_common,NL,storm,8759,10.999550780340222,20.593897218806454,-1.7753342793697913
train,all_nyx_hours,pooled,chronos,17284,10.212302523315262,15.832977459622475,-0.9082234052624972
train,all_nyx_hours,pooled,residual,17284,9.588423756757157,14.881652342345125,-0.29452360363658864
train,all_nyx_hours,pooled,nyx,17284,9.492463654338545,14.765284889254485,-0.18644005524156482
train,all_nyx_hours,BE,chronos,4321,9.15445998830132,13.320053200477727,-0.8379756198032864
train,all_nyx_hours,BE,residual,4321,8.63542898495729,12.618062432625084,-0.6502403466658618
train,all_nyx_hours,BE,nyx,4321,8.536293519663767,12.494289180235462,-0.521841583548381
train,all_nyx_hours,DE,chronos,4321,10.815437306380467,18.63826650744479,-1.6575690772020366
train,all_nyx_hours,DE,residual,4321,10.011707792324204,17.32641223169354,-0.49525182015107705
train,all_nyx_hours,DE,nyx,4321,9.969352951737081,17.177305613301584,-0.20899017143584495
train,all_nyx_hours,FR,chronos,4321,10.496488495695672,14.235023165714352,-0.06501131487641779
train,all_nyx_hours,FR,residual,4321,10.136966062978473,13.713494221225831,0.08825151128905585
train,all_nyx_hours,FR,nyx,4321,9.963053223968869,13.546169713024888,0.08749778659502927
train,all_nyx_hours,NL,chronos,4321,10.382824302883591,16.591805831588495,-1.0723376091682482
train,all_nyx_hours,NL,residual,4321,9.56959218676866,15.43937568756931,-0.12085375901847155
train,all_nyx_hours,NL,nyx,4321,9.501154921984464,15.407425070309557,-0.10242625257706263
train,four_model_common,pooled,chronos,17280,10.2126249944989,15.833852049257501,-0.9063921544280672
train,four_model_common,pooled,residual,17280,9.58853627191381,14.882448627118821,-0.29248475301705573
train,four_model_common,pooled,nyx,17280,9.493252523910108,14.766485511023657,-0.18522665489571982
train,four_model_common,pooled,storm,17280,9.463290488194444,14.101696017781519,0.4621571942129628
train,four_model_common,BE,chronos,4320,9.15226818217824,13.318581213550528,-0.8338587015578705
train,four_model_common,BE,residual,4320,8.633628450172141,12.617051611759427,-0.6465913885848108
train,four_model_common,BE,nyx,4320,8.534966370271079,12.493849030473282,-0.5186592369482582
train,four_model_common,BE,storm,4320,8.223894243055556,11.707141388178162,-0.5607873074074075
train,four_model_common,DE,chronos,4320,10.817886526266204,18.640423247055416,-1.6578984201828704
train,four_model_common,DE,residual,4320,10.01342915853419,17.32837318585923,-0.4947703030341713
train,four_model_common,DE,nyx,4320,9.971356867903737,17.17928200756105,-0.20934235321436787
train,four_model_common,DE,storm,4320,10.529727872916666,16.591816971370605,0.7267525937499999
train,four_model_common,FR,chronos,4320,10.49595095053264,14.235334708352166,-0.0620590759215281
train,four_model_common,FR,residual,4320,10.13615608592186,13.71351209359705,0.09142843685823307
train,four_model_common,FR,nyx,4320,9.963697730775076,13.547297186694296,0.08917979622645278
