support,zone,label,model,days,first,last,n,mae,rmse,bias
nyx_naive_common,pooled,observed,weekly_naive,358,2025-09-23,2026-09-15,34364,34.00362003113724,51.74359795350373,-2.413198950937027
nyx_naive_common,pooled,observed,nyx,358,2025-09-23,2026-09-15,34364,11.384417503965642,21.97257634650645,-0.7091209399862882
nyx_naive_common,pooled,observed,chronos,358,2025-09-23,2026-09-15,34364,12.377136983278925,23.48690684874202,-0.49505603442634744
nyx_naive_common,pooled,observed,residual,358,2025-09-23,2026-09-15,34364,11.479596045042397,22.143236986418106,-0.9441443157441629
nyx_naive_common,pooled,frozen_actual,weekly_naive,358,2025-09-23,2026-09-15,34364,34.00462711704109,51.744068859379404,-2.4142060368408798
nyx_naive_common,pooled,frozen_actual,nyx,358,2025-09-23,2026-09-15,34364,11.384121518436643,21.972468267536513,-0.710128025890141
nyx_naive_common,pooled,frozen_actual,chronos,358,2025-09-23,2026-09-15,34364,12.376807065923552,23.486818968340472,-0.4960631203302003
nyx_naive_common,pooled,frozen_actual,residual,358,2025-09-23,2026-09-15,34364,11.479036574259291,22.143107910917116,-0.9451514016480158
nyx_naive_common,BE,observed,weekly_naive,358,2025-09-23,2026-09-15,8591,32.350469532068445,51.159223271462274,-2.53718586311256
nyx_naive_common,BE,observed,nyx,358,2025-09-23,2026-09-15,8591,11.165908983281858,23.944758114407364,-1.0571966759480294
nyx_naive_common,BE,observed,chronos,358,2025-09-23,2026-09-15,8591,11.978820778682458,25.0866041369062,-0.7560417054893495
nyx_naive_common,BE,observed,residual,358,2025-09-23,2026-09-15,8591,11.264503400381972,24.08552754948973,-1.3839171280145763
nyx_naive_common,BE,frozen_actual,weekly_naive,358,2025-09-23,2026-09-15,8591,32.35155264230008,51.15966029935344,-2.538268973344197
nyx_naive_common,BE,frozen_actual,nyx,358,2025-09-23,2026-09-15,8591,11.16482587305022,23.94448204192902,-1.058279786179667
nyx_naive_common,BE,frozen_actual,chronos,358,2025-09-23,2026-09-15,8591,11.977926803592247,25.08643834193337,-0.757124815720987
nyx_naive_common,BE,frozen_actual,residual,358,2025-09-23,2026-09-15,8591,11.26347422127745,24.085328746472634,-1.385000238246214
nyx_naive_common,DE,observed,weekly_naive,358,2025-09-23,2026-09-15,8591,35.83189908043301,55.18317062638155,-2.306598766150623
nyx_naive_common,DE,observed,nyx,358,2025-09-23,2026-09-15,8591,11.091115468882727,22.048053946023835,-0.8109660386562799
nyx_naive_common,DE,observed,chronos,358,2025-09-23,2026-09-15,8591,12.319114223508322,24.093074520525743,-0.9504470638703298
nyx_naive_common,DE,observed,residual,358,2025-09-23,2026-09-15,8591,11.182591722374804,22.274302202763863,-1.1143993459267787
nyx_naive_common,DE,frozen_actual,weekly_naive,358,2025-09-23,2026-09-15,8591,35.8329533814457,55.18348737046408,-2.3076530671633106
nyx_naive_common,DE,frozen_actual,nyx,358,2025-09-23,2026-09-15,8591,11.090061167870038,22.04775678974306,-0.8120203396689675
