support,zone,comparison,n,days,block_days,reps,seed,mae_delta,mae_delta_ci_low,mae_delta_ci_high,rmse_delta,rmse_delta_ci_low,rmse_delta_ci_high
nyx_naive_common,pooled,nyx minus weekly_naive,34364,358,7,2000,20260915,-22.619202527171595,-25.304491540678058,-19.774976123465123,-29.77102160699728,-34.858134870301285,-25.089906268830337
nyx_naive_common,pooled,chronos minus weekly_naive,34364,358,7,2000,20260915,-21.626483047858308,-24.204847097086407,-18.83476431641573,-28.25669110476171,-33.32720577670719,-23.61131337861688
nyx_naive_common,pooled,residual minus weekly_naive,34364,358,7,2000,20260915,-22.52402398609484,-25.20135660523126,-19.715970440313303,-29.600360967085624,-34.717808031721056,-24.934001442017024
nyx_naive_common,BE,nyx minus weekly_naive,8591,358,7,2000,20260915,-21.184560548786592,-23.992011549337665,-18.214532061288317,-27.21446515705491,-33.56192098914642,-21.43250948596086
nyx_naive_common,BE,chronos minus weekly_naive,8591,358,7,2000,20260915,-20.37164875338599,-23.129135575625686,-17.539441243803754,-26.072619134556074,-32.5661630204199,-20.407905069661563
nyx_naive_common,BE,residual minus weekly_naive,8591,358,7,2000,20260915,-21.085966131686476,-23.876447561855958,-18.17665754660193,-27.07369572197255,-33.49460842056063,-21.258679727836334
nyx_naive_common,DE,nyx minus weekly_naive,8591,358,7,2000,20260915,-24.74078361155028,-27.551176395187223,-21.288129331427974,-33.13511668035772,-38.039887928939784,-28.114786940894447
nyx_naive_common,DE,chronos minus weekly_naive,8591,358,7,2000,20260915,-23.512784856924686,-26.336944978354754,-20.212671275098888,-31.090096105855817,-35.972578116215686,-26.129267206235376
nyx_naive_common,DE,residual minus weekly_naive,8591,358,7,2000,20260915,-24.649307358058202,-27.413272757300753,-21.233253673172303,-32.90886842361769,-37.819759350233696,-27.852973061327386
nyx_naive_common,FR,nyx minus weekly_naive,8591,358,7,2000,20260915,-23.01035158414467,-26.370988019476723,-20.03388021568804,-29.598441988951997,-34.26444964734166,-25.53338816455369
nyx_naive_common,FR,chronos minus weekly_naive,8591,358,7,2000,20260915,-22.153679383969738,-25.459798746098492,-19.315640442837392,-28.42207124215732,-33.2377389237007,-24.337603902207636
nyx_naive_common,FR,residual minus weekly_naive,8591,358,7,2000,20260915,-22.86478888706758,-26.21813569541083,-19.936990351423606,-29.353310835234044,-34.09994314028121,-25.346253750128124
nyx_naive_common,NL,nyx minus weekly_naive,8591,358,7,2000,20260915,-21.541114364204837,-24.227703616954475,-18.5559275369548,-29.20709385604245,-34.37225472036075,-24.080403095469222
nyx_naive_common,NL,chronos minus weekly_naive,8591,358,7,2000,20260915,-20.46781919715283,-23.071127555505186,-17.5210660365685,-27.52188990624116,-32.71583937819119,-22.34872501116232
nyx_naive_common,NL,residual minus weekly_naive,8591,358,7,2000,20260915,-21.496033567567103,-24.171293653510762,-18.537468166428596,-29.12099956017546,-34.30167103092657,-24.0189351739682
all_models_common,pooled,nyx minus weekly_naive,34360,358,7,2000,20260915,-22.615273612693407,-25.304491540678058,-19.766668285234662,-29.768270167070458,-34.85640084786557,-25.089906268830337
all_models_common,pooled,chronos minus weekly_naive,34360,358,7,2000,20260915,-21.622756922719528,-24.201507116852415,-18.834663039739073,-28.254004495229978,-33.327064987437005,-23.611155169546258
all_models_common,pooled,residual minus weekly_naive,34360,358,7,2000,20260915,-22.52043530824456,-25.19488525256602,-19.70809471097814,-29.59774082886136,-34.715991463075795,-24.93105878989782
all_models_common,pooled,storm minus weekly_naive,34360,358,7,2000,20260915,-22.683829145023285,-25.18542256500576,-19.86265428219879,-30.873683496898007,-35.79928026815496,-25.630285323558276
all_models_common,BE,nyx minus weekly_naive,8590,358,7,2000,20260915,-21.18216784092219,-23.992011549337665,-18.21439511780048,-27.212975240473884,-33.56006151599844,-21.429336677100952
all_models_common,BE,chronos minus weekly_naive,8590,358,7,2000,20260915,-20.36966821918265,-23.126870886696697,-17.539325575102744,-26.07137247065364,-32.56558054000865,-20.407811250529186
all_models_common,BE,residual minus weekly_naive,8590,358,7,2000,20260915,-21.083811557226458,-23.874662736489565,-18.17665754660193,-27.07235370730822,-33.49459430201083,-21.256916629219774
