zone,grouping,group,n,residual_cap40_fraction,kalman_cap20_fraction,kalman_raw_above20_fraction
BE,all,all,8760,0.001141552511415525,0.0,0.0
BE,split,test,2160,0.000925925925925926,0.0,0.0
BE,split,train,4321,0.0004628558204119417,0.0,0.0
BE,split,validation,2279,0.0026327336551118913,0.0,0.0
BE,hour,0,365,0.0,0.0,0.0
BE,hour,1,365,0.0,0.0,0.0
BE,hour,2,365,0.0,0.0,0.0
BE,hour,3,365,0.0,0.0,0.0
BE,hour,4,365,0.0,0.0,0.0
BE,hour,5,365,0.0,0.0,0.0
BE,hour,6,365,0.0,0.0,0.0
BE,hour,7,365,0.0,0.0,0.0
BE,hour,8,365,0.0027397260273972603,0.0,0.0
BE,hour,9,365,0.0027397260273972603,0.0,0.0
BE,hour,10,365,0.0,0.0,0.0
BE,hour,11,365,0.0,0.0,0.0
BE,hour,12,365,0.0027397260273972603,0.0,0.0
BE,hour,13,365,0.005479452054794521,0.0,0.0
BE,hour,14,365,0.005479452054794521,0.0,0.0
BE,hour,15,365,0.0027397260273972603,0.0,0.0
BE,hour,16,365,0.0,0.0,0.0
BE,hour,17,365,0.0,0.0,0.0
BE,hour,18,365,0.0,0.0,0.0
BE,hour,19,365,0.0,0.0,0.0
BE,hour,20,365,0.0027397260273972603,0.0,0.0
BE,hour,21,365,0.0027397260273972603,0.0,0.0
BE,hour,22,365,0.0,0.0,0.0
BE,hour,23,365,0.0,0.0,0.0
BE,season,DJF,2160,0.0,0.0,0.0
BE,season,JJA,2208,0.0009057971014492754,0.0,0.0
BE,season,MAM,2207,0.002718622564567286,0.0,0.0
BE,season,SON,2185,0.0009153318077803204,0.0,0.0
BE,regime,negative,330,0.01818181818181818,0.0,0.0
BE,regime,upper95_train,1437,0.0027835768963117608,0.0,0.0
BE,regime,upper99_train,388,0.005154639175257732,0.0,0.0
DE,all,all,8760,0.00502283105022831,0.0,0.0
DE,split,test,2160,0.0032407407407407406,0.0,0.0
DE,split,train,4321,0.00856283267762092,0.0,0.0
DE,split,validation,2279,0.0,0.0,0.0
DE,hour,0,365,0.0,0.0,0.0
DE,hour,1,365,0.0,0.0,0.0
DE,hour,2,365,0.0,0.0,0.0
DE,hour,3,365,0.0,0.0,0.0
DE,hour,4,365,0.0,0.0,0.0
DE,hour,5,365,0.0,0.0,0.0
DE,hour,6,365,0.0,0.0,0.0
DE,hour,7,365,0.00821917808219178,0.0,0.0
DE,hour,8,365,0.010958904109589041,0.0,0.0
DE,hour,9,365,0.010958904109589041,0.0,0.0
DE,hour,10,365,0.005479452054794521,0.0,0.0
DE,hour,11,365,0.005479452054794521,0.0,0.0
DE,hour,12,365,0.005479452054794521,0.0,0.0
DE,hour,13,365,0.005479452054794521,0.0,0.0
DE,hour,14,365,0.00821917808219178,0.0,0.0
DE,hour,15,365,0.00821917808219178,0.0,0.0
DE,hour,16,365,0.00821917808219178,0.0,0.0
DE,hour,17,365,0.010958904109589041,0.0,0.0
DE,hour,18,365,0.00821917808219178,0.0,0.0
DE,hour,19,365,0.005479452054794521,0.0,0.0
DE,hour,20,365,0.0136986301369863,0.0,0.0
DE,hour,21,365,0.005479452054794521,0.0,0.0
DE,hour,22,365,0.0,0.0,0.0
DE,hour,23,365,0.0,0.0,0.0
DE,season,DJF,2160,0.009722222222222222,0.0,0.0
DE,season,JJA,2208,0.003170289855072464,0.0,0.0
DE,season,MAM,2207,0.0,0.0,0.0
DE,season,SON,2185,0.007322654462242563,0.0,0.0
DE,regime,negative,527,0.0,0.0,0.0
