zone,grouping,group,model,n,mae,rmse,bias
BE,all,all,nyx,8759,11.165423423679226,23.823620634896443,-1.0483636537316798
BE,all,all,storm,8759,10.936282391711384,23.499065874098612,-2.818745653270921
BE,all,all,chronos,8760,12.030223757739481,24.999044003661968,-0.6954157356018348
BE,all,all,residual,8760,11.264809317074347,23.965903613951827,-1.3852367972044697
BE,split,test,nyx,2160,16.10764101560567,37.863589980209504,-2.544202348581372
BE,split,test,storm,2160,14.072472306018518,37.08937388581023,-4.35242541712963
BE,split,test,chronos,2160,16.979536999737775,38.724699708135724,-1.638619186825223
BE,split,test,residual,2160,16.097421369252302,38.03667113408056,-2.66849682566732
BE,split,train,nyx,4320,8.534966370271079,12.493849030473282,-0.5186592369482582
BE,split,train,storm,4320,8.223894243055556,11.707141388178162,-0.5607873074074075
BE,split,train,chronos,4321,9.15446001543267,13.320053193332454,-0.8379756181147937
BE,split,train,residual,4321,8.63542898495729,12.618062432625084,-0.6502403466658621
BE,split,validation,nyx,2279,11.467478918265488,22.949263706621426,-0.6347223635294187
BE,split,validation,storm,2279,13.105368213251426,23.637450102845165,-5.645262443176832
BE,split,validation,chronos,2279,12.791811527722547,25.386800202357982,0.4688320515771975
BE,split,validation,residual,2279,11.669859945583967,23.12186388968264,-1.56254175608888
BE,hour,0,nyx,365,7.002912934277509,10.84884686067885,-0.6466323191973907
BE,hour,0,storm,365,8.286029005479453,11.391650490545672,-1.8027388136986306
BE,hour,0,chronos,365,6.952665656938944,10.58786232790424,0.02859204436001691
BE,hour,0,residual,365,6.99929787823582,10.65588147818642,-0.7411798076262345
BE,hour,1,nyx,365,6.630545852136736,9.593612003409781,-1.0886601273511325
BE,hour,1,storm,365,7.4704694246575345,10.217453997185444,-2.4903019123287677
BE,hour,1,chronos,365,6.826460822954569,9.721654994909745,0.09966818279109586
BE,hour,1,residual,365,6.685709942473712,9.50715894767417,-0.864604104392413
BE,hour,2,nyx,364,6.999198499673167,10.112689728727561,-1.4211375524619971
BE,hour,2,storm,364,7.538876615384615,10.576315145911432,-2.2589780109890105
BE,hour,2,chronos,365,7.093754141611595,10.33009699251559,-0.17170461200034812
BE,hour,2,residual,365,7.0055602963995325,9.968027030780929,-1.0532245541173904
BE,hour,3,nyx,365,7.581843467887671,10.888614857754193,-1.3183916068307153
BE,hour,3,storm,365,7.6443446739726015,11.002793332458644,-2.083549868493151
BE,hour,3,chronos,365,7.676187382110178,11.177604885785714,-0.09188992769424208
BE,hour,3,residual,365,7.587297019411516,10.81421995985029,-1.0495482525749436
BE,hour,4,nyx,365,7.798039710381606,11.240507883229776,-0.5965023974730016
