zone,grouping,group,n,residual_cap40_fraction,kalman_cap20_fraction,kalman_raw_above20_fraction
BE,all,all,8400,0.0011904761904761906,0.0,0.0
BE,split,test,1800,0.0011111111111111111,0.0,0.0
BE,split,train,4321,0.0004628558204119417,0.0,0.0
BE,split,validation,2279,0.0026327336551118913,0.0,0.0
BE,hour,0,350,0.0,0.0,0.0
BE,hour,1,350,0.0,0.0,0.0
BE,hour,2,350,0.0,0.0,0.0
BE,hour,3,350,0.0,0.0,0.0
BE,hour,4,350,0.0,0.0,0.0
BE,hour,5,350,0.0,0.0,0.0
BE,hour,6,350,0.0,0.0,0.0
BE,hour,7,350,0.0,0.0,0.0
BE,hour,8,350,0.002857142857142857,0.0,0.0
BE,hour,9,350,0.002857142857142857,0.0,0.0
BE,hour,10,350,0.0,0.0,0.0
BE,hour,11,350,0.0,0.0,0.0
BE,hour,12,350,0.002857142857142857,0.0,0.0
BE,hour,13,350,0.005714285714285714,0.0,0.0
BE,hour,14,350,0.005714285714285714,0.0,0.0
BE,hour,15,350,0.002857142857142857,0.0,0.0
BE,hour,16,350,0.0,0.0,0.0
BE,hour,17,350,0.0,0.0,0.0
BE,hour,18,350,0.0,0.0,0.0
BE,hour,19,350,0.0,0.0,0.0
BE,hour,20,350,0.002857142857142857,0.0,0.0
BE,hour,21,350,0.002857142857142857,0.0,0.0
BE,hour,22,350,0.0,0.0,0.0
BE,hour,23,350,0.0,0.0,0.0
BE,season,DJF,2160,0.0,0.0,0.0
BE,season,JJA,2208,0.0009057971014492754,0.0,0.0
BE,season,MAM,2207,0.002718622564567286,0.0,0.0
BE,season,SON,1825,0.001095890410958904,0.0,0.0
BE,regime,negative,328,0.018292682926829267,0.0,0.0
BE,regime,upper95_train,1180,0.003389830508474576,0.0,0.0
BE,regime,upper99_train,243,0.00823045267489712,0.0,0.0
DE,all,all,8400,0.005238095238095238,0.0,0.0
DE,split,test,1800,0.0038888888888888888,0.0,0.0
DE,split,train,4321,0.00856283267762092,0.0,0.0
DE,split,validation,2279,0.0,0.0,0.0
DE,hour,0,350,0.0,0.0,0.0
DE,hour,1,350,0.0,0.0,0.0
DE,hour,2,350,0.0,0.0,0.0
DE,hour,3,350,0.0,0.0,0.0
DE,hour,4,350,0.0,0.0,0.0
DE,hour,5,350,0.0,0.0,0.0
DE,hour,6,350,0.0,0.0,0.0
DE,hour,7,350,0.008571428571428572,0.0,0.0
DE,hour,8,350,0.011428571428571429,0.0,0.0
DE,hour,9,350,0.011428571428571429,0.0,0.0
DE,hour,10,350,0.005714285714285714,0.0,0.0
DE,hour,11,350,0.005714285714285714,0.0,0.0
DE,hour,12,350,0.005714285714285714,0.0,0.0
DE,hour,13,350,0.005714285714285714,0.0,0.0
DE,hour,14,350,0.008571428571428572,0.0,0.0
DE,hour,15,350,0.008571428571428572,0.0,0.0
DE,hour,16,350,0.008571428571428572,0.0,0.0
DE,hour,17,350,0.011428571428571429,0.0,0.0
DE,hour,18,350,0.008571428571428572,0.0,0.0
DE,hour,19,350,0.005714285714285714,0.0,0.0
DE,hour,20,350,0.014285714285714285,0.0,0.0
DE,hour,21,350,0.005714285714285714,0.0,0.0
DE,hour,22,350,0.0,0.0,0.0
DE,hour,23,350,0.0,0.0,0.0
DE,season,DJF,2160,0.009722222222222222,0.0,0.0
DE,season,JJA,2208,0.003170289855072464,0.0,0.0
DE,season,MAM,2207,0.0,0.0,0.0
DE,season,SON,1825,0.008767123287671232,0.0,0.0
DE,regime,negative,507,0.0,0.0,0.0
DE,regime,upper95_train,729,0.05075445816186557,0.0,0.0
DE,regime,upper99_train,85,0.16470588235294117,0.0,0.0
FR,all,all,8400,0.0014285714285714286,0.0,0.0
FR,split,test,1800,0.0016666666666666668,0.0,0.0
FR,split,train,4321,0.0,0.0,0.0
FR,split,validation,2279,0.003949100482667837,0.0,0.0
FR,hour,0,350,0.0,0.0,0.0
FR,hour,1,350,0.0,0.0,0.0
FR,hour,2,350,0.0,0.0,0.0
FR,hour,3,350,0.0,0.0,0.0
FR,hour,4,350,0.0,0.0,0.0
FR,hour,5,350,0.0,0.0,0.0
FR,hour,6,350,0.0,0.0,0.0
FR,hour,7,350,0.0,0.0,0.0
FR,hour,8,350,0.0,0.0,0.0
FR,hour,9,350,0.0,0.0,0.0
FR,hour,10,350,0.0,0.0,0.0
FR,hour,11,350,0.0,0.0,0.0
FR,hour,12,350,0.005714285714285714,0.0,0.0
FR,hour,13,350,0.008571428571428572,0.0,0.0
FR,hour,14,350,0.011428571428571429,0.0,0.0
FR,hour,15,350,0.008571428571428572,0.0,0.0
FR,hour,16,350,0.0,0.0,0.0
FR,hour,17,350,0.0,0.0,0.0
FR,hour,18,350,0.0,0.0,0.0
FR,hour,19,350,0.0,0.0,0.0
FR,hour,20,350,0.0,0.0,0.0
FR,hour,21,350,0.0,0.0,0.0
FR,hour,22,350,0.0,0.0,0.0
FR,hour,23,350,0.0,0.0,0.0
FR,season,DJF,2160,0.0,0.0,0.0
FR,season,JJA,2208,0.001358695652173913,0.0,0.0
FR,season,MAM,2207,0.0040779338468509285,0.0,0.0
FR,season,SON,1825,0.0,0.0,0.0
FR,regime,negative,566,0.02120141342756184,0.0,0.0
FR,regime,upper95_train,1247,0.0,0.0,0.0
FR,regime,upper99_train,427,0.0,0.0,0.0
NL,all,all,8400,0.004285714285714286,0.0,0.0
NL,split,test,1800,0.0038888888888888888,0.0,0.0
NL,split,train,4321,0.0050914140245313586,0.0,0.0
NL,split,validation,2279,0.00307152259763054,0.0,0.0
NL,hour,0,350,0.0,0.0,0.0
NL,hour,1,350,0.0,0.0,0.0
NL,hour,2,350,0.0,0.0,0.0
NL,hour,3,350,0.0,0.0,0.0
NL,hour,4,350,0.0,0.0,0.0
NL,hour,5,350,0.0,0.0,0.0
NL,hour,6,350,0.0,0.0,0.0
NL,hour,7,350,0.005714285714285714,0.0,0.0
NL,hour,8,350,0.005714285714285714,0.0,0.0
NL,hour,9,350,0.011428571428571429,0.0,0.0
NL,hour,10,350,0.008571428571428572,0.0,0.0
NL,hour,11,350,0.0,0.0,0.0
NL,hour,12,350,0.002857142857142857,0.0,0.0
NL,hour,13,350,0.008571428571428572,0.0,0.0
NL,hour,14,350,0.005714285714285714,0.0,0.0
NL,hour,15,350,0.008571428571428572,0.0,0.0
NL,hour,16,350,0.008571428571428572,0.0,0.0
NL,hour,17,350,0.008571428571428572,0.0,0.0
NL,hour,18,350,0.005714285714285714,0.0,0.0
NL,hour,19,350,0.002857142857142857,0.0,0.0
NL,hour,20,350,0.008571428571428572,0.0,0.0
NL,hour,21,350,0.008571428571428572,0.0,0.0
NL,hour,22,350,0.002857142857142857,0.0,0.0
NL,hour,23,350,0.0,0.0,0.0
NL,season,DJF,2160,0.005555555555555556,0.0,0.0
