zone,grouping,group,model,n,mae,rmse,bias
BE,all,all,nyx,8399,10.907908900753391,23.613951181297388,-0.9805125894797803
BE,all,all,storm,8399,10.698147606500774,23.457079229380906,-2.5276740822716994
BE,all,all,chronos,8399,11.760731212742114,24.76686820345433,-0.6749176536753186
BE,all,all,residual,8399,11.010941655879968,23.76438684811971,-1.3300355518822768
BE,split,test,nyx,1800,15.894493157294233,39.502640867525834,-2.5267694827448075
BE,split,test,storm,1800,13.588546921666667,39.129341730710344,-3.3009890783333335
BE,split,test,chronos,1800,16.715580308886665,40.25498205629534,-1.7415732878577783
BE,split,test,residual,1800,15.882229581670193,39.701674035688384,-2.6759228552479457
BE,split,train,nyx,4320,8.534966370271079,12.493849030473282,-0.5186592369482582
BE,split,train,storm,4320,8.223894243055556,11.707141388178162,-0.5607873074074075
BE,split,train,chronos,4320,9.15226818217824,13.318581213550528,-0.8338587015578705
BE,split,train,residual,4320,8.633628450172141,12.617051611759427,-0.6465913885848108
BE,split,validation,nyx,2279,11.467478918265488,22.949263706621426,-0.6347223635294186
BE,split,validation,storm,2279,13.105368213251426,23.637450102845165,-5.645262443176832
BE,split,validation,chronos,2279,12.791811475566037,25.3868001720773,0.46883200335892955
BE,split,validation,residual,2279,11.669859945583967,23.12186388968264,-1.5625417560888797
BE,hour,0,nyx,350,6.783924333085563,10.535575358691089,-0.8230249894393326
BE,hour,0,storm,350,8.135687342857143,11.106319254731225,-1.9772357542857142
BE,hour,0,chronos,350,6.721478286971429,10.12027048614033,-0.1802315204571431
BE,hour,0,residual,350,6.78015434607066,10.328157487641567,-0.9216245130865555
BE,hour,1,nyx,350,6.452698278361666,9.382981241826547,-1.085396651597675
BE,hour,1,storm,350,7.429443248571428,10.11980035751362,-2.4092595971428574
BE,hour,1,chronos,350,6.662315564571428,9.471976211583753,0.09594179028571416
BE,hour,1,residual,350,6.5102265439987965,9.290761331076647,-0.8517382276550097
BE,hour,2,nyx,349,6.788922328362611,9.69825103644183,-1.4856381499793274
BE,hour,2,storm,349,7.411531252148998,10.360200948960468,-2.1389504670487107
BE,hour,2,chronos,349,6.878626238481376,9.773036171013786,-0.18404954793696288
BE,hour,2,residual,349,6.768600021909862,9.515200552130535,-1.0578993359388524
BE,hour,3,nyx,350,7.411853471941948,10.394428875461967,-1.3646787761722763
BE,hour,3,storm,350,7.490776039999999,10.725376394292855,-2.0215387771428572
BE,hour,3,chronos,350,7.5251356954,10.589848608530774,-0.14803515859999997
BE,hour,3,residual,350,7.417540747102529,10.31311665662264,-1.0843135638769716
BE,hour,4,nyx,350,7.6737392140480996,10.793088984164578,-0.7189556569181363
BE,hour,4,storm,350,7.097624708571428,10.311792448800507,-1.8411943714285715
BE,hour,4,chronos,350,7.830258090857143,10.906072028376608,0.18239969257142843
BE,hour,4,residual,350,7.64485247972807,10.76637648837833,-0.7684741826015996
BE,hour,5,nyx,350,7.6068330803484265,10.768691118042357,0.34775511957102073
BE,hour,5,storm,350,7.426485691428572,10.544451603270627,-1.9110962514285719
BE,hour,5,chronos,350,7.711659524857144,10.893028012342242,0.5426913894285712
BE,hour,5,residual,350,7.646359945639363,10.787277424409682,-0.20526059333979285
BE,hour,6,nyx,350,8.940156353190295,12.459057656817368,0.5676909888723467
BE,hour,6,storm,350,8.424191874285714,11.735693392955087,-2.781948091428572
BE,hour,6,chronos,350,9.270608832,12.97351436658961,-0.3139783022857146
BE,hour,6,residual,350,8.949763976156843,12.59033715378416,-0.5343804770925501
BE,hour,7,nyx,350,10.773844060058636,15.778062285098049,0.13229656615684057
BE,hour,7,storm,350,9.835167225714285,14.826791013203774,-4.375934322857143
BE,hour,7,chronos,350,10.973723600971429,16.053684067650863,-1.2750072181142857
BE,hour,7,residual,350,10.74811970160625,15.828226712642493,-0.676323913990278
BE,hour,8,nyx,350,11.063529698007915,15.230313274709948,-0.7883772987866206
BE,hour,8,storm,350,11.456189779999999,15.668776963661504,-6.399316945714286
BE,hour,8,chronos,350,12.091632995771429,16.364306793674494,-1.768971018628572
BE,hour,8,residual,350,11.201879052578342,15.346484470277641,-1.096886423021396
BE,hour,9,nyx,350,11.303325734900225,15.297763371660519,-1.3507956845887956
BE,hour,9,storm,350,11.30287406,15.670164742465113,-6.239108431428571
BE,hour,9,chronos,350,12.84201538314286,17.16842171546846,-0.5316640808571427
BE,hour,9,residual,350,11.392753157790688,15.39549226253634,-1.4692678410577582
BE,hour,10,nyx,350,11.242033615016886,15.586275231153621,-0.3113849017976622
BE,hour,10,storm,350,10.605669488571428,14.879009361981419,-5.297752248571428
BE,hour,10,chronos,350,13.069421118371428,17.714695241942778,1.1993343155142857
BE,hour,10,residual,350,11.349198774142362,15.618830175960783,-0.5365111976657145
BE,hour,11,nyx,350,11.382228959051037,16.420965848706523,-0.3431868309117247
BE,hour,11,storm,350,11.300668705714285,16.766549314448035,-5.010087888571428
BE,hour,11,chronos,350,13.828878132114285,19.323650397927384,1.1745240206857142
BE,hour,11,residual,350,11.604395305717494,16.878336643964133,-0.9472940734044469
BE,hour,12,nyx,350,12.384947551303323,22.45022556203161,-1.1869652761792082
BE,hour,12,storm,350,12.80866522857143,22.711225641815872,-5.029239748571429
BE,hour,12,chronos,350,14.310678795085714,25.318865052090878,0.9040086337142861
BE,hour,12,residual,350,12.59204004214011,22.684436127954353,-1.7429660246411767
BE,hour,13,nyx,350,13.17423058191596,31.697068309691595,1.002732861868559
BE,hour,13,storm,350,13.975796942857144,32.035857125903966,-2.555338119999999
BE,hour,13,chronos,350,15.227499218757142,35.0659871527183,3.329107419557142
BE,hour,13,residual,350,13.390667192432623,31.771120192410137,0.40365876453176736
BE,hour,14,nyx,350,13.277647839904576,31.69032685608545,0.5640044240149282
BE,hour,14,storm,350,14.16772017142857,30.80140056803166,-4.097183502857144
BE,hour,14,chronos,350,15.335165555400001,34.820103666379914,2.7797525242571424
BE,hour,14,residual,350,13.409555854692158,31.80170284344001,0.12320343485391407
BE,hour,15,nyx,350,11.580221022737325,19.40408938818025,-0.10988566296575673
BE,hour,15,storm,350,11.37081976,18.628498178344056,-4.140413502857143
BE,hour,15,chronos,350,13.651029075428573,22.216910081762176,1.8550415320000002
BE,hour,15,residual,350,11.833286474299381,19.81510802248628,-0.36134702586154205
BE,hour,16,nyx,350,10.92069336311965,14.986265765210307,-0.7282875704956259
BE,hour,16,storm,350,10.62728384,14.901863977787713,-3.7274991942857145
BE,hour,16,chronos,350,12.895739541902856,17.068184681683178,0.3950767167599994
BE,hour,16,residual,350,11.006363467157211,15.15247779196965,-1.116686829746488
BE,hour,17,nyx,350,11.59170441239963,16.575499313318748,-0.9115936148447346
BE,hour,17,storm,350,11.351710237142857,16.341054221809078,-2.3412563628571426
BE,hour,17,chronos,350,12.677985703428572,18.08319999908455,-0.5985338748571426
BE,hour,17,residual,350,11.682259683650775,16.552491313143396,-1.108403764729745
BE,hour,18,nyx,350,11.791908519597975,18.601579353237412,-2.4335305549149595
BE,hour,18,storm,350,12.044562005714285,17.420584269347515,-4.953784205714285
BE,hour,18,chronos,350,12.408845242857144,19.25274330576676,-3.644973842857142
BE,hour,18,residual,350,12.019151127110574,18.862350390819337,-2.7302688849232046
BE,hour,19,nyx,350,15.864847697859584,34.41993988618257,-4.011784374242531
BE,hour,19,storm,350,13.014176479999998,21.585657067303018,-3.823650954285715
BE,hour,19,chronos,350,16.271686980000002,34.66540110326407,-5.631940351428572
BE,hour,19,residual,350,16.024062645236917,34.746119797645385,-4.161280842536555
BE,hour,20,nyx,350,17.271778571797984,51.13385995611352,-3.278759617655986
BE,hour,20,storm,350,14.899119671428572,46.91160726720219,3.414030191428571
BE,hour,20,chronos,350,17.266738202857145,51.922058365818856,-5.325513208571428
BE,hour,20,residual,350,17.4484805886251,51.379407456724394,-3.5902942395932405
BE,hour,21,nyx,350,15.48374955366363,50.655661491616904,-3.1518537871642534
BE,hour,21,storm,350,15.218457474285715,59.95489633075507,6.248023645714286
BE,hour,21,chronos,350,15.395234291714289,51.24282881743899,-4.753058377428573
BE,hour,21,residual,350,15.627887639214574,50.935552230593714,-3.7122735487035547
BE,hour,22,nyx,350,11.350603513475832,31.833436889762915,-2.644219513192652
BE,hour,22,storm,350,10.468220128571428,33.70482433646389,0.5787807114285719
BE,hour,22,chronos,350,11.557467365514286,32.49178755533986,-4.022912211228571
BE,hour,22,residual,350,11.4892610480516,32.101675309284595,-3.426117395158241
BE,hour,23,nyx,350,9.66262333086861,15.860524732110315,0.5800935879616979
BE,hour,23,storm,350,8.883310865714286,12.646373444205734,2.1678868542857144
BE,hour,23,chronos,350,9.839776798,16.18803830382905,-0.27563052942857164
BE,hour,23,residual,350,9.713618949969899,16.141295591867618,-0.3473250138900952
BE,season,DJF,nyx,2160,6.858507296820389,9.673840364234792,0.29603376299974915
BE,season,DJF,storm,2160,7.275804125,10.148584742460052,0.7594913194444444
BE,season,DJF,chronos,2160,6.958186281018519,9.945842380949616,0.2253912458333334
BE,season,DJF,residual,2160,6.984263709656131,9.794177719760473,0.7336564363008855
BE,season,JJA,nyx,2208,14.942698880888933,36.25910176145258,-2.1873234128310237
BE,season,JJA,storm,2208,13.73912785009058,36.45118962167383,-4.254510680706522
