zone,period,selected_filter,days,physical_hours
BE,full350,identity,16,384
BE,full350,linear_market,317,7608
BE,full350,linear_scale,17,408
BE,test75,identity,16,384
BE,test75,linear_market,59,1416
DE,full350,identity,37,888
DE,full350,linear_bias,4,96
DE,full350,linear_market,309,7416
DE,test75,linear_market,75,1800
FR,full350,identity,5,120
FR,full350,linear_market,345,8280
FR,test75,identity,5,120
FR,test75,linear_market,70,1680
NL,full350,identity,48,1152
NL,full350,linear_bias,10,240
NL,full350,linear_harmonic,17,408
NL,full350,linear_market,254,6096
NL,full350,linear_scale,20,480
NL,full350,ukf_scale,1,24
NL,test75,linear_market,75,1800
