zone,model,month,n,mae
BE,chronos,2025-09,360,13.295867564444446
BE,nyx,2025-09,360,11.544898699889911
BE,storm,2025-09,360,9.985482963888888
BE,chronos,2025-10,744,10.650524189126344
BE,nyx,2025-10,744,9.120189559925302
BE,storm,2025-10,744,8.077790004032257
BE,chronos,2025-11,720,9.005986009722223
BE,nyx,2025-11,720,8.665400041219911
BE,storm,2025-11,720,8.197701193055556
BE,chronos,2025-12,744,5.928558055107526
BE,nyx,2025-12,744,6.3463286117688895
BE,storm,2025-12,744,6.4372446397849465
BE,chronos,2026-01,744,9.007944258064516
BE,nyx,2026-01,744,8.775985337072628
BE,storm,2026-01,744,8.48151936155914
BE,chronos,2026-02,672,5.828756913690476
BE,nyx,2026-02,672,5.302640153562426
BE,storm,2026-02,672,6.869310257440475
BE,chronos,2026-03,743,12.531780417671602
BE,nyx,2026-03,743,11.475673879930305
BE,storm,2026-03,743,11.436755763122477
BE,chronos,2026-04,720,15.336148282430553
BE,nyx,2026-04,720,13.953062962532567
BE,storm,2026-04,720,15.521369334722223
BE,chronos,2026-05,744,11.769837486606184
BE,nyx,2026-05,744,10.825763907605007
BE,storm,2026-05,744,11.588871776881719
BE,chronos,2026-06,720,23.251883759583336
BE,nyx,2026-06,720,21.375488799317583
BE,storm,2026-06,720,20.420911534722222
BE,chronos,2026-07,744,13.89492929823387
BE,nyx,2026-07,744,13.036280336734894
BE,storm,2026-07,744,10.457784
BE,chronos,2026-08,744,11.24301671157258
BE,nyx,2026-08,744,10.623836858821697
BE,storm,2026-08,744,10.554229424731181
DE,chronos,2025-09,360,13.477931534500001
DE,nyx,2025-09,360,11.433014527192194
DE,storm,2025-09,360,10.22618608611111
DE,chronos,2025-10,744,12.375300702916666
DE,nyx,2025-10,744,10.72239251885538
DE,storm,2025-10,744,11.552434624999998
DE,chronos,2025-11,720,12.720268837499997
DE,nyx,2025-11,720,11.90290176018482
DE,storm,2025-11,720,11.342133925
DE,chronos,2025-12,744,7.4162023508064525
DE,nyx,2025-12,744,7.5875364171076
DE,storm,2025-12,744,9.164213581989246
DE,chronos,2026-01,744,11.113494431895163
DE,nyx,2026-01,744,10.90737221086376
DE,storm,2026-01,744,10.635473629032258
DE,chronos,2026-02,672,7.1088566860119045
DE,nyx,2026-02,672,6.779721627442577
DE,storm,2026-02,672,9.106451497023809
DE,chronos,2026-03,743,12.79924315079408
DE,nyx,2026-03,743,11.02818939840436
DE,storm,2026-03,743,11.914364604306863
DE,chronos,2026-04,720,14.941766118309722
DE,nyx,2026-04,720,13.72506094963
DE,storm,2026-04,720,12.665488858333333
DE,chronos,2026-05,744,12.015456875
DE,nyx,2026-05,744,10.443489982456171
DE,storm,2026-05,744,12.701614052419355
DE,chronos,2026-06,720,18.465988344347224
DE,nyx,2026-06,720,16.652417323947503
DE,storm,2026-06,720,16.18993465277778
DE,chronos,2026-07,744,12.31048501171371
DE,nyx,2026-07,744,9.797025938319303
DE,storm,2026-07,744,9.658173572580646
DE,chronos,2026-08,744,11.028570192784947
DE,nyx,2026-08,744,10.146573197169566
DE,storm,2026-08,744,9.835282364247313
FR,chronos,2025-09,360,11.188552935208333
FR,nyx,2025-09,360,10.184832358121126
FR,storm,2025-09,360,11.565741730555555
FR,chronos,2025-10,744,10.479125932704301
FR,nyx,2025-10,744,9.67993707191862
FR,storm,2025-10,744,9.865736205645161
FR,chronos,2025-11,720,9.679218630555557
FR,nyx,2025-11,720,9.762242798079921
FR,storm,2025-11,720,9.671180838888889
FR,chronos,2025-12,744,7.398742456854839
FR,nyx,2025-12,744,7.579542206227806
FR,storm,2025-12,744,6.957874583333334
FR,chronos,2026-01,744,10.103485572580645
FR,nyx,2026-01,744,10.249377856464456
FR,storm,2026-01,744,8.672611598118278
FR,chronos,2026-02,672,12.066744320377977
FR,nyx,2026-02,672,10.031017541651192
FR,storm,2026-02,672,10.215085736607142
FR,chronos,2026-03,743,14.987429287053835
FR,nyx,2026-03,743,14.148993204609454
FR,storm,2026-03,743,15.371985730820994
FR,chronos,2026-04,720,17.919985365019446
FR,nyx,2026-04,720,15.177777147091856
FR,storm,2026-04,720,15.446305348611112
FR,chronos,2026-05,744,16.464528789784946
FR,nyx,2026-05,744,15.888093339989771
FR,storm,2026-05,744,17.278200427419353
FR,chronos,2026-06,720,15.325160093659724
FR,nyx,2026-06,720,13.988266595469026
FR,storm,2026-06,720,12.759644801388887
FR,chronos,2026-07,744,14.201095866827957
FR,nyx,2026-07,744,12.297852073660055
FR,storm,2026-07,744,12.353108380376344
FR,chronos,2026-08,744,13.503249472768818
FR,nyx,2026-08,744,13.602682645115232
FR,storm,2026-08,744,11.72551234408602
NL,chronos,2025-09,360,14.039508438055554
NL,nyx,2025-09,360,11.772838029349774
NL,storm,2025-09,360,9.286834580555556
NL,chronos,2025-10,744,12.39581309
NL,nyx,2025-10,744,11.165089817303032
NL,storm,2025-10,744,9.254535751344086
NL,chronos,2025-11,720,10.238981654166667
NL,nyx,2025-11,720,9.245196459274595
NL,storm,2025-11,720,9.838430886111109
NL,chronos,2025-12,744,7.113139344758064
NL,nyx,2025-12,744,7.167508981993959
NL,storm,2025-12,744,7.278638447580646
NL,chronos,2026-01,744,10.163688177419356
NL,nyx,2026-01,744,9.85534659353889
NL,storm,2026-01,744,10.059261596774194
NL,chronos,2026-02,672,7.282071055059524
NL,nyx,2026-02,672,6.271471439079526
NL,storm,2026-02,672,8.126942947916667
NL,chronos,2026-03,743,13.626088034589504
NL,nyx,2026-03,743,12.274670740320799
NL,storm,2026-03,743,12.133976725437416
NL,chronos,2026-04,720,15.375019957444445
NL,nyx,2026-04,720,14.52838411071171
NL,storm,2026-04,720,14.991515708333331
NL,chronos,2026-05,744,11.595950764287634
NL,nyx,2026-05,744,10.329804221007356
NL,storm,2026-05,744,11.206803559139786
NL,chronos,2026-06,720,20.43004572226389
NL,nyx,2026-06,720,18.62531769171023
NL,storm,2026-06,720,17.111716869444443
NL,chronos,2026-07,744,12.417276295712366
NL,nyx,2026-07,744,10.547169960495449
NL,storm,2026-07,744,9.467690862903225
NL,chronos,2026-08,744,11.205311548481184
NL,nyx,2026-08,744,10.127215309794293
NL,storm,2026-08,744,10.249640610215055
