period,support,zone,model,n,mae,rmse,bias
full350,all_nyx_hours,pooled,chronos,33600,12.197094274536665,23.187312775687275,-0.4478178242869644
full350,all_nyx_hours,pooled,residual,33600,11.283470113800535,21.87482792929019,-0.902155891349564
full350,all_nyx_hours,pooled,nyx,33600,11.18862721888589,21.706689359491303,-0.6622320820821216
full350,all_nyx_hours,BE,chronos,8400,11.761548156935834,24.766227507951523,-0.6770543375784525
full350,all_nyx_hours,BE,residual,8400,11.011584846070557,23.763647096126526,-1.3318312308947675
full350,all_nyx_hours,BE,nyx,8400,10.90830909956236,23.613058840320623,-0.9820946211829467
full350,all_nyx_hours,DE,chronos,8400,12.101015643621428,23.467059656454865,-0.8180470031726191
full350,all_nyx_hours,DE,residual,8400,10.98963784986402,21.76969278096753,-0.9346701254965816
full350,all_nyx_hours,DE,nyx,8400,10.911268488435226,21.569528987807324,-0.6599133593764684
full350,all_nyx_hours,FR,chronos,8400,12.841728777165596,20.178952299259322,0.2871368392241664
full350,all_nyx_hours,FR,residual,8400,12.114857846561824,19.244645970097594,-0.3983686220674888
full350,all_nyx_hours,FR,nyx,8400,11.965828507725272,18.99513106058732,-0.27034444449872114
full350,all_nyx_hours,NL,chronos,8400,12.08408452042381,24.069625365576268,-0.5833067956209524
full350,all_nyx_hours,NL,residual,8400,11.017799912705748,22.473218330779208,-0.9437535869394179
full350,all_nyx_hours,NL,nyx,8400,10.969102779820698,22.384935095653468,-0.7365759032703499
full350,four_model_common,pooled,chronos,33596,12.197496449469936,23.188356686141606,-0.4468211092987857
full350,four_model_common,pooled,residual,33596,11.283729800886354,21.8758060765869,-0.9011795605496272
full350,four_model_common,pooled,nyx,33596,11.189234919816203,21.70780372053328,-0.6616646219717265
full350,four_model_common,pooled,storm,33596,11.162003067775926,20.685583817487927,-1.858190824949399
full350,four_model_common,BE,chronos,8399,11.760731212742114,24.76686820345433,-0.6749176536753186
full350,four_model_common,BE,residual,8399,11.010941655879968,23.76438684811971,-1.3300355518822768
