zone,grouping,group,n,coverage80,below_p10,above_p90,width80,interval_score80,wis80_single_interval
BE,all,all,8400,0.7466666666666667,0.12059523809523809,0.13273809523809524,30.370001732508342,56.91326281673147,7.430320554302884
BE,split,test,1800,0.7605555555555555,0.11222222222222222,0.1272222222222222,42.9020939318339,86.28862909007948,11.050739658436711
BE,split,train,4321,0.722286507752835,0.1372367507521407,0.1404767414950243,23.372793592697104,41.70712076414212,5.62590589083073
BE,split,validation,2279,0.7819218955682317,0.09565598946906538,0.12242211496270294,33.73865921971253,62.54296027930812,7.992023658042371
BE,hour,0,350,0.6342857142857142,0.15142857142857144,0.21428571428571427,14.28466440473284,36.48987605123012,4.693966514443862
BE,hour,1,350,0.6742857142857143,0.13714285714285715,0.18857142857142858,15.518242601667131,33.2841611398586,4.369843502111128
BE,hour,2,350,0.6914285714285714,0.12,0.18857142857142858,16.525123312813896,34.65016268987443,4.580109390272228
BE,hour,3,350,0.6828571428571428,0.14,0.17714285714285713,17.49472150530134,37.40229391681793,4.9641040851018445
BE,hour,4,350,0.6885714285714286,0.13428571428571429,0.17714285714285713,18.7000339617048,38.750519501180285,5.14128103809472
BE,hour,5,350,0.7142857142857143,0.1457142857142857,0.14,20.33114528111049,37.66943017310312,5.046906371656351
BE,hour,6,350,0.7142857142857143,0.16285714285714287,0.12285714285714286,23.643108607700892,44.21438331755965,5.927677672234074
BE,hour,7,350,0.7228571428571429,0.1457142857142857,0.13142857142857142,30.002226922171456,54.07428024256777,7.196233369524062
BE,hour,8,350,0.7685714285714286,0.12571428571428572,0.10571428571428572,34.58076945713588,53.202589601393704,7.234682539428885
BE,hour,9,350,0.7857142857142857,0.10285714285714286,0.11142857142857143,35.94349717276437,54.0011661945078,7.367852991267262
BE,hour,10,350,0.7714285714285715,0.12,0.10857142857142857,34.66646537780762,54.67625695195371,7.392428335135876
BE,hour,11,350,0.7571428571428571,0.11428571428571428,0.12857142857142856,35.538393129621234,59.25862834112016,7.744651542425022
BE,hour,12,350,0.7714285714285715,0.09428571428571429,0.13428571428571429,37.086847806658064,67.13894393233032,8.60424544592313
BE,hour,13,350,0.7971428571428572,0.09142857142857143,0.11142857142857143,37.024117039271765,76.3605613737027,9.482114285552166
BE,hour,14,350,0.7885714285714286,0.09714285714285714,0.11428571428571428,36.89446402413505,77.67872174013266,9.604464062643702
BE,hour,15,350,0.8,0.08,0.12,37.44159146990095,61.97916043237567,7.99201770307082
BE,hour,16,350,0.7914285714285715,0.10571428571428572,0.10285714285714286,33.95109591892788,52.52361313860084,7.14180533027994
BE,hour,17,350,0.7628571428571429,0.10285714285714286,0.13428571428571429,33.37035893031529,55.5078517279326,7.564424919328716
