,actual_15m
2025-10-24 19:00:00+00:00,64.62
2025-10-24 19:15:00+00:00,49.09
2025-10-24 19:30:00+00:00,34.6
2025-10-24 19:45:00+00:00,18.65
2025-10-24 20:00:00+00:00,34.87
2025-10-24 20:15:00+00:00,26.37
2025-10-24 20:30:00+00:00,30.69
2025-10-24 20:45:00+00:00,20.07
2025-10-24 21:00:00+00:00,22.89
2025-10-24 21:15:00+00:00,7.44
2025-10-24 21:30:00+00:00,4.88
2025-10-24 21:45:00+00:00,3.93
2025-10-24 22:00:00+00:00,3.98
2025-10-24 22:15:00+00:00,4.93
2025-10-24 22:30:00+00:00,4.3
2025-10-24 22:45:00+00:00,3.33
2025-10-24 23:00:00+00:00,2.62
2025-10-24 23:15:00+00:00,2.39
2025-10-24 23:30:00+00:00,1.22
2025-10-24 23:45:00+00:00,0.52
2025-10-25 00:00:00+00:00,2.96
2025-10-25 00:15:00+00:00,1.69
2025-10-25 00:30:00+00:00,0.48
2025-10-25 00:45:00+00:00,0.34
2025-10-25 01:00:00+00:00,0.8
2025-10-25 01:15:00+00:00,0.79
2025-10-25 01:30:00+00:00,0.78
2025-10-25 01:45:00+00:00,0.53
2025-10-25 02:00:00+00:00,0.76
2025-10-25 02:15:00+00:00,0.6
2025-10-25 02:30:00+00:00,0.62
2025-10-25 02:45:00+00:00,0.77
2025-10-25 03:00:00+00:00,0.54
2025-10-25 03:15:00+00:00,0.71
2025-10-25 03:30:00+00:00,1.2
2025-10-25 03:45:00+00:00,1.43
2025-10-25 04:00:00+00:00,1.02
2025-10-25 04:15:00+00:00,1.12
2025-10-25 04:30:00+00:00,1.87
2025-10-25 04:45:00+00:00,3.16
2025-10-25 05:00:00+00:00,5.43
2025-10-25 05:15:00+00:00,5.74
2025-10-25 05:30:00+00:00,5.62
2025-10-25 05:45:00+00:00,4.67
2025-10-25 06:00:00+00:00,7.55
2025-10-25 06:15:00+00:00,7.8
2025-10-25 06:30:00+00:00,8.36
2025-10-25 06:45:00+00:00,8.95
2025-10-25 07:00:00+00:00,13.22
2025-10-25 07:15:00+00:00,11.4
2025-10-25 07:30:00+00:00,10.34
2025-10-25 07:45:00+00:00,8.8
2025-10-25 08:00:00+00:00,11.3
2025-10-25 08:15:00+00:00,10.47
2025-10-25 08:30:00+00:00,9.29
